Date,AAPL,GOOGL,MMM
2016-11-09,,,
2016-11-10,-0.027867965368,-0.0314055536936,0.0228299782851
2016-11-11,0.00593747100844,-0.0109446487844,0.00459031443654
2016-11-14,-0.025085308494,-0.0240103660512,-0.0123943340187
2016-11-15,0.0132437801532,0.0291282759353,0.00769186281881
2016-11-16,0.0268882457287,0.0062180711079,-0.0127984389348
2016-11-17,-0.000363669424493,0.0079232800841,0.00441834777048
2016-11-18,0.00100045475216,-0.0129617380686,0.00109972796203
2016-11-21,0.0151735417045,0.011379305901,-0.00832562442183
2016-11-22,0.000626510337421,0.000254841997961,0.00227378731343
2016-11-23,-0.00509838998211,-0.00764331210191,0.00197777907044
2016-11-25,0.00503461296413,0.00157894736842,0.00719883889695
2016-11-28,-0.00196797566866,0.00712610384117,-0.00570638077123
2016-11-29,-0.000985928116877,0.0046450069357,0.0015652173913
2016-11-30,-0.00843351875112,-0.0171767328739,-0.00596168316259
2016-12-01,-0.00931958016649,-0.0148863226272,0.00518225224176
2016-12-02,0.00374463421317,0.000170083602632,-0.00115854718183
2016-12-05,-0.00718835304823,0.0179996337284,-0.00469755842951
2016-12-06,0.00769865273577,-0.00262136670864,0.00104882880783
2016-12-07,0.00982264665757,0.0196990388827,0.0247380675204
2016-12-08,0.00981716653157,0.00467484554058,-0.000965634762852
2016-12-09,0.0163217980735,0.0179584239848,0.0148396634069
2016-12-12,-0.00570425625274,-0.0019148804744,0.00644293797972
2016-12-13,0.0166813768756,0.00920906052729,-0.00450901803607
2016-12-14,0.0,0.00312752961955,-0.0124699435218
2016-12-15,0.00546922475909,-0.00273875460025,-0.00328425821065
2016-12-16,0.00129511310654,-0.00712315331331,0.00812407680945
2016-12-19,0.00577735621281,0.00328459942705,0.00400112707805
2016-12-20,0.00265775034294,0.00332307692308,0.00275033677593
2016-12-21,0.000940572894399,-0.00368007850834,-0.00123145815841
2016-12-22,-0.00657782333846,-0.00310268406796,0.00431541781091
2016-12-23,0.00197781408548,-0.0023219049501,-0.00251116071429
2016-12-27,0.00635084105733,0.00263679128497,0.000951048951049
2016-12-28,-0.00426402865427,-0.00661785586409,-0.00469483568075
2016-12-29,-0.000256937307297,-0.00210050088867,0.00185309973046
2016-12-30,-0.00779576801165,-0.0129907333599,0.000896810716888
2017-01-03,0.0028492488344,0.0196353082213,-0.00291202329619
2017-01-04,-0.00111924235902,-0.000297026026906,0.00151642796967
2017-01-05,0.0050853301155,0.00649937482204,-0.00342081650965
2017-01-06,0.0111482720178,0.0149934810952,0.00292611558157
2017-01-09,0.00915952845391,0.00238727111887,-0.00538629860293
2017-01-10,0.00100848810824,-0.00141444425639,-0.00389236757489
2017-01-11,0.00537318445135,0.00466096052106,0.00741873371843
2017-01-12,-0.00417536534447,-0.000397657436194,-0.00252965315644
2017-01-13,-0.00176100628931,0.00169975769412,-0.000281785392245
2017-01-17,0.00806451612903,-0.00418802801646,-0.000732848525847
2017-01-18,-8.33333333333e-05,0.00188528750634,0.00693895972019
2017-01-19,-0.00175014584549,-0.00560903235145,0.00106448540534
2017-01-20,0.0018367006178,0.00460958064947,-0.00106335348108
2017-01-23,0.000666666666667,0.019633650096,0.000112051095299
2017-01-24,-0.000916055962692,0.00603957699276,-0.0142288947398
2017-01-25,0.0159206468284,0.0104999234871,0.00431891799739
2017-01-26,0.000492287495898,-0.00171238860737,0.000509251400441
2017-01-27,8.20075446941e-05,-0.0139443160867,0.00373260943332
2017-01-30,-0.00262402624026,-0.025087866703,-0.0116069416272
2017-01-31,-0.00230206363562,-0.00441838728864,-0.00342036255843
2017-02-01,0.0609806345282,-0.00603518696887,0.00200205926095
2017-02-02,-0.00170873786408,0.00370443059712,-0.00565165268025
2017-02-03,0.00427915661713,0.00228533717889,0.00493742105867
2017-02-06,0.0093740316083,0.00181678514382,0.000342778793419
2017-02-07,0.00951723079285,0.00926218933327,0.00376927470017
2017-02-08,0.00387744240858,0.000783859725287,0.0074533454711
2017-02-09,0.0028779157831,0.000216898828746,0.0062687072909
2017-02-10,-0.00226551880381,0.00577066718069,0.00460208777641
2017-02-13,0.00885558583106,0.00492304006708,0.0112849162011
2017-02-14,0.0129792182459,0.00127538857633,0.00320406584908
2017-02-15,0.00362909198637,-0.00322607525922,0.000550660792952
2017-02-16,-0.00125451996163,0.00579228968614,0.0094111172262
2017-02-17,0.00280774346091,0.00520085018464,-0.00250804209149
2017-02-21,0.00722074860006,0.00321304116709,0.00229570921017
2017-02-22,0.0029992684711,0.00246093704005,0.0145607242188
2017-02-23,-0.00423018014733,-0.000422852847209,0.00618146635132
2017-02-24,0.000952171683879,-0.00374853113984,0.00117527645708
2017-02-27,0.00197570613201,0.00219388778146,-0.00266794728136
2017-02-28,0.000438180092018,-0.00557863641178,-0.00299609437697
2017-03-01,0.0204394481349,0.0139893245594,0.0188355245506
2017-03-02,-0.00593747764504,-0.00805369127517,0.000158011166122
2017-03-03,0.00590097869891,-0.000906042242749,-0.00305439991574
2017-03-06,-0.00314780369152,-0.00213171903708,-0.00216575986477
2017-03-07,0.00129180421989,0.00457941388223,0.00100582318687
2017-03-08,-0.00372706422018,0.0029254537978,0.00222116452483
2017-03-09,-0.00230215827338,0.00492010683661,0.00205793889505
2017-03-10,0.00331698875108,0.00414995803413,0.00689836756187
2017-03-13,0.000431220353601,0.00369166473183,0.00162125411851
2017-03-14,-0.00150862068966,0.00153831918388,-0.0062134502924
2017-03-15,0.0105763004533,0.00286403898789,0.00457100824883
2017-03-16,0.00163747686174,0.00185400568869,-0.00465481171548
2017-03-17,-0.00497547800128,0.00272413793103,0.0107718984814
2017-03-20,0.0105007500536,-0.00511250960028,0.00337908089
2017-03-21,-0.0114520005655,-0.0204744731597,-0.00455934925652
2017-03-22,0.0112986270023,-0.000399934128496,0.000468432831937
2017-03-23,-0.00353556781219,-0.0119439868204,-0.000416189782541
2017-03-24,-0.00198694294635,-0.00537128565474,-0.00327885916519
2017-03-27,0.00170648464164,0.00403525157459,-0.00563939219884
2017-03-28,0.0207268597388,0.0025282942362,0.00294071312293
2017-03-29,0.00222531293463,0.0109917561829,-0.0016231216294
2017-03-30,-0.00131834582293,-0.000458893713156,0.00314663310258
2017-03-31,-0.00187591190162,-0.00197768046334,0.000261396905061
2017-04-03,0.000278435194208,0.010556735079,-0.00318820885381
2017-04-04,0.00744606819763,-0.00487890283046,-0.00277894295302
2017-04-05,-0.00518063134627,-0.00429290263556,0.000262894999737
2017-04-06,-0.002499652826,-0.00448810828003,-0.00183978132885
2017-04-07,-0.00222748155367,-0.00354987575435,0.000526620675128
2017-04-10,-0.00118599134924,-0.000475002968769,-0.00147376177694
2017-04-11,-0.010756443389,-0.00216229060235,0.00189763322967
2017-04-12,0.00120031066864,0.00188122112683,-0.00194665123376
2017-04-13,-0.00528913963329,-0.00152116559314,-0.00553505535055
2017-04-17,0.00552995391705,0.0177938060892,0.00906440498277
2017-04-18,-0.00444193753085,-0.00133313063511,-0.00073544862366
2017-04-19,-0.00368271954674,0.00295085422546,-0.00205025759647
2017-04-20,0.0125106624964,0.0041680774305,0.00700626876679
2017-04-21,-0.00119348497613,-0.00131383127151,0.00177861477297
2017-04-24,0.00962957756379,0.0232609581466,0.0142558746736
2017-04-25,0.00619604566973,0.0112750731002,0.00463368171755
2017-04-26,-0.00588113194492,0.000337518563521,-0.000666222518321
2017-04-27,0.000765590200445,0.00258676923769,0.00569230769231
2017-04-28,-0.000973642116976,0.037108498609,-0.00142777012901
2017-05-01,0.0203967977724,0.00897763163588,-0.00520859929531
2017-05-02,0.00634465820712,0.0045775176347,0.00882911554848
2017-05-03,-0.00305064063453,0.0121226349657,0.005597109856
2017-05-04,-0.00360397116823,0.00661078601929,0.00951272580074
2017-05-05,0.0165836347506,-0.00465057817999,-0.000551350809483
2017-05-08,0.0271885069817,0.00885002315107,-0.00376128385155
2017-05-09,0.00640481014313,-0.00206531829893,-0.00347344575887
2017-05-10,-0.00474056756932,-0.00195461529617,-0.00666801374015
2017-05-11,0.00450215320371,0.00109966067613,0.000559397884459
2017-05-12,0.0139655732381,-0.000784609107742,-0.000914866581957
2017-05-15,-0.00256245996156,0.00427162510208,0.00539248105001
2017-05-16,-0.0014771997431,0.00561914889181,0.00141678894905
2017-05-17,-0.0335756094423,-0.0232632877536,-0.0155121014603
2017-05-18,0.0152412645591,0.00884129191123,0.00205296653665
2017-05-19,0.00340894191687,0.00436612309311,0.00286826469986
2017-05-22,0.00607604860839,0.0098674907034,0.0138406537283
2017-05-23,-0.00123384635366,0.00672150362526,-0.00392927308448
2017-05-24,-0.00299089726918,0.00727422595436,-0.00121377636171
2017-05-25,0.00345637146211,0.0145763648081,0.0103802724189
2017-05-26,-0.0016897380906,0.00142157159277,0.0056630249574
2017-05-30,0.00039059957034,0.00291964923938,0.00882045148752
2017-05-31,-0.0059217804386,-0.0091149101057,0.0100276625173
2017-06-01,0.00274941084053,0.00121569461751,-0.000586883161344
2017-06-02,0.0148191669931,0.00792277570349,0.0114998776609
2017-06-05,-0.00977806368607,0.00779022607718,-0.00232220609579
2017-06-06,0.0033781589034,-0.00717217197275,-0.00392784405004
2017-06-07,0.00595662026546,0.00492635550026,-0.00194732486247
2017-06-08,-0.00244577460256,0.00268572968979,0.0045363640798
2017-06-09,-0.0387766952707,-0.0340144182897,0.00480722540546
2017-06-12,-0.0238958249429,-0.00856595060405,0.00222297395254
2017-06-13,0.00804566084445,0.0090350485023,0.00829355320893
2017-06-14,-0.00975509925643,-0.00264811952602,0.0043039548563
2017-06-15,-0.00599338660788,-0.0080067773496,0.00609494785963
2017-06-16,-0.0139995841708,-0.00162469536962,0.0092290217237
2017-06-19,0.0286075771421,0.0173165592205,0.000562746201463
2017-06-20,-0.00908842421758,-0.0063883021267,0.0
2017-06-21,0.00593062547411,0.00990722298476,-0.00234345706787
2017-06-22,-0.00164530061013,-0.0020131004813,-0.0030066710514
2017-06-23,0.00446336606468,0.00969670905777,0.00320422203374
2017-06-26,-0.00314465408805,-0.0141974870448,-0.00136214185063
2017-06-27,-0.0143327389933,-0.0246890719995,-0.0133107567847
2017-06-28,0.0146107284492,0.0136273982428,0.00400419487082
2017-06-29,-0.0147431941302,-0.0241308623219,-0.0131516475169
2017-06-30,0.00236636971047,-0.00867970399437,0.0016357950445
2017-07-03,-0.00361060963755,-0.0109930298597,0.00787741966473
2017-07-05,0.00411149825784,0.013921214626,-0.000333603393223
2017-07-06,-0.0094385453536,-0.00490206594727,-0.00829519450801
2017-07-07,0.010159041547,0.0141426554129,0.00754735121623
2017-07-10,0.00610348175891,0.0108310923566,0.00429409800086
2017-07-11,0.00324003860472,0.0026603575184,-0.00394318019858
2017-07-12,0.001443001443,0.0148186213334,0.00782218830487
2017-07-13,0.0139289145053,0.00122977078726,-0.000993847610033
2017-07-14,0.00859443730121,0.00831914124994,0.00322137476906
2017-07-17,0.00348899624262,-0.000972453961982,-0.000424989375266
2017-07-18,0.00347686547205,0.011260707406,-0.00174792139078
2017-07-19,0.00626332622601,0.00589695526622,0.00373858312432
2017-07-20,-0.0045027148722,-0.000584223939079,0.0016501650165
2017-07-21,-0.000465611281096,0.00166298793578,-0.00607201694516
